"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"1640549883","","","","","2009-04-28 17:01:03 +0000","<a href=""http://twitter.com/devices"" rel=""nofollow"">txt</a>","Lightning just struck the road outside. Car alarms going off."
"1628015324","","","","","2009-04-27 11:10:03 +0000","web","At home, ill with throat infection. Refusing to make any reference or connection to swine flu"
"1604917575","","","","","2009-04-24 16:09:31 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Searching you tube for more animation - Can you tell I've got time to kill?"
"1604877058","","","","","2009-04-24 16:04:56 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","Another great animated ad: http://is.gd/ujyY"
"1604854525","","","","","2009-04-24 16:02:26 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","Crazy Awesome Scrabble Ad: http://is.gd/ujwT"
"1604834134","","","","","2009-04-24 16:00:11 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","75 Ways to Draw More: http://is.gd/ujtH"
"1602639557","","","","","2009-04-24 10:38:39 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Wohoo! Secret e-bay gift for Vic has just arrived!"
"1602409797","","5984662","","","2009-04-24 09:36:50 +0000","web","@teaislovely Sorry, but I had to pinch your pic for #twoonday"
"1602406469","","","","","2009-04-24 09:35:54 +0000","web","Claymation counts for #twoonday"
"1602290760","","","","","2009-04-24 09:04:04 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","Me and my phantom limb: http://is.gd/ufqw"
"1593906007","","","","","2009-04-23 13:14:01 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@citizendan That's not Cup of Soup... that's Soup of Cup you're drinking!"
"1593900128","","","","","2009-04-23 13:13:09 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","RT @qikipedia: ""incredible microscopic pictures of parts of your body.  http://tinyurl.com/qi0020"" Pic15 is phenomenal"
"1593868920","1593822137","18634534","","","2009-04-23 13:08:27 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","@jamiepotter It frustrates me. http://is.gd/u4QU There is a contact form, but you have to supply an address and phone number!"
"1593754466","","","","","2009-04-23 12:50:51 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Why doesn't Answers in Genesis allow comments on their articles? There's nothing to fear from a healthy discussion - is there?"
"1593172764","","","","","2009-04-23 10:55:09 +0000","<a href=""http://hootsuite.com/hootbar"" rel=""nofollow"">HootBar</a>","Best Shadow Puppet Show Ever / A wonderful world: http://is.gd/u3MI"
"1592457853","","","","","2009-04-23 07:37:53 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Monring all! Got my copy of Urban Paper delivered today, proper chuffed! http://is.gd/u2l3"
"1585630002","","","","","2009-04-22 15:47:16 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Google scholar is a bazillion times easier to use than the library search! Giddy giddy haha!"
"1584609792","","","","","2009-04-22 13:37:58 +0000","<a href=""http://www.twhirl.org/"" rel=""nofollow"">twhirl</a>","Couldn't the 50% tax just be avoided by donating a chunk of cash to charity, taking taxable income below the threshold? #budget"
